Ano,Mês,Região,Estação,Energia
2004,1,Brasil,Verão,26978358.020000007
2004,2,Brasil,Verão,26508170.77
2004,3,Brasil,Outono,27284329.409999996
2004,4,Brasil,Outono,28046182.351
2004,5,Brasil,Outono,27244506.479999993
2004,6,Brasil,Inverno,27082961.479999997
2004,7,Brasil,Inverno,27346004.67
2004,8,Brasil,Inverno,27656857.789999995
2004,9,Brasil,Primavera,28232451.24000001
2004,10,Brasil,Primavera,28556120.939999994
2004,11,Brasil,Primavera,28367124.049999993
2004,12,Brasil,Verão,28562106.43
2005,1,Brasil,Verão,28375437.441
2005,2,Brasil,Verão,27838480.970000003
2005,3,Brasil,Outono,28598631.508999996
2005,4,Brasil,Outono,29355501.910000008
2005,5,Brasil,Outono,28482150.609999996
2005,6,Brasil,Inverno,28326181.920000013
2005,7,Brasil,Inverno,28322317.11999999
2005,8,Brasil,Inverno,28764354.809000008
2005,9,Brasil,Primavera,29335128.080000013
2005,10,Brasil,Primavera,29145312.05000001
2005,11,Brasil,Primavera,29287617.219999995
2005,12,Brasil,Verão,29505146.070000004
2006,1,Brasil,Verão,28880910.62
2006,2,Brasil,Verão,29383486.499999993
2006,3,Brasil,Outono,29897827.73
2006,4,Brasil,Outono,29887953.009999998
2006,5,Brasil,Outono,28925038.559999995
2006,6,Brasil,Inverno,29068797.599999994
2006,7,Brasil,Inverno,29113809.229999993
2006,8,Brasil,Inverno,29886236.06
2006,9,Brasil,Primavera,29916630.53900001
2006,10,Brasil,Primavera,30143525.320000004
2006,11,Brasil,Primavera,30531121.359999992
2006,12,Brasil,Verão,30493979.03000001
2007,1,Brasil,Verão,30699704
2007,2,Brasil,Verão,30324669
2007,3,Brasil,Outono,31312900
2007,4,Brasil,Outono,32030744
2007,5,Brasil,Outono,31382917
2007,6,Brasil,Inverno,30766760
2007,7,Brasil,Inverno,30500299
2007,8,Brasil,Inverno,31181133
2007,9,Brasil,Primavera,31735736
2007,10,Brasil,Primavera,32135735
2007,11,Brasil,Primavera,32654491
2007,12,Brasil,Verão,32304926
2008,1,Brasil,Verão,31855946.27
2008,2,Brasil,Verão,31730940.65
2008,3,Brasil,Outono,32118714.86
2008,4,Brasil,Outono,31952656.29
2008,5,Brasil,Outono,32299963.39
2008,6,Brasil,Inverno,31742987.79
2008,7,Brasil,Inverno,32150352.03
2008,8,Brasil,Inverno,33013528.63
2008,9,Brasil,Primavera,32964086.69
2008,10,Brasil,Primavera,33673777.379999995
2008,11,Brasil,Primavera,33410166.509999998
2008,12,Brasil,Verão,31559278.490000002
2009,1,Brasil,Verão,30666661.8
2009,2,Brasil,Verão,30495142.71
2009,3,Brasil,Outono,31977749.51
2009,4,Brasil,Outono,32042792.8
2009,5,Brasil,Outono,30945452.900000002
2009,6,Brasil,Inverno,30715169.95
2009,7,Brasil,Inverno,31324991.23
2009,8,Brasil,Inverno,32262205.6
2009,9,Brasil,Primavera,32716665.810000002
2009,10,Brasil,Primavera,33419533.139999997
2009,11,Brasil,Primavera,33616820.2
2009,12,Brasil,Verão,34123194.7
2010,1,Brasil,Verão,33360460.71
2010,2,Brasil,Verão,33729757.75
2010,3,Brasil,Outono,35116881.82
2010,4,Brasil,Outono,35025860.489999995
2010,5,Brasil,Outono,34296978
2010,6,Brasil,Inverno,34169459
2010,7,Brasil,Inverno,33849349
2010,8,Brasil,Inverno,34713394.230000004
2010,9,Brasil,Primavera,35182271.010000005
2010,10,Brasil,Primavera,35188924.99
2010,11,Brasil,Primavera,35077981.26
2010,12,Brasil,Verão,35956439.4
2011,1,Brasil,Verão,35873744.260000005
2011,2,Brasil,Verão,35444916.66
2011,3,Brasil,Outono,36350690.05
2011,4,Brasil,Outono,36048318.05
2011,5,Brasil,Outono,35565987.39
2011,6,Brasil,Inverno,35159573.72
2011,7,Brasil,Inverno,35417292.620000005
2011,8,Brasil,Inverno,36335812.84
2011,9,Brasil,Primavera,36965189.34
2011,10,Brasil,Primavera,36743770.379999995
2011,11,Brasil,Primavera,36368389.769999996
2011,12,Brasil,Verão,36741948.78
2012,1,Brasil,Verão,36305167.29000001
2012,2,Brasil,Verão,36888068.019999996
2012,3,Brasil,Outono,38635573.72
2012,4,Brasil,Outono,37995869.09
2012,5,Brasil,Outono,36810191.03
2012,6,Brasil,Inverno,36528393.11
2012,7,Brasil,Inverno,35917147.199999996
2012,8,Brasil,Inverno,37179602.53
2012,9,Brasil,Primavera,37661696.120000005
2012,10,Brasil,Primavera,37796014.07
2012,11,Brasil,Primavera,38643584.230000004
2012,12,Brasil,Verão,37765084.440000005
2013,1,Brasil,Verão,38366809.739999995
2013,2,Brasil,Verão,38001415.72
2013,3,Brasil,Outono,38442191.55
2013,4,Brasil,Outono,38653663.43
2013,5,Brasil,Outono,38344861.57
2013,6,Brasil,Inverno,37627698.010000005
2013,7,Brasil,Inverno,37697945.03
2013,8,Brasil,Inverno,38613276.260000005
2013,9,Brasil,Primavera,38524724.16
2013,10,Brasil,Primavera,39389004.379999995
2013,11,Brasil,Primavera,39920289.54
2013,12,Brasil,Verão,39556378.239999995
2014,1,Brasil,Verão,40279759
2014,2,Brasil,Verão,41653487
2014,3,Brasil,Outono,40315392
2014,4,Brasil,Outono,39550251
2014,5,Brasil,Outono,39100499
2014,6,Brasil,Inverno,37726472.88
2014,7,Brasil,Inverno,37765729
2014,8,Brasil,Inverno,38651774
2014,9,Brasil,Primavera,38894976
2014,10,Brasil,Primavera,40100440.59
2014,11,Brasil,Primavera,40950726.39
2014,12,Brasil,Verão,39838307.03
2015,1,Brasil,Verão,40760683.53
2015,2,Brasil,Verão,40723219.36
2015,3,Brasil,Outono,39765521.39
2015,4,Brasil,Outono,39602500.300000004
2015,5,Brasil,Outono,38208982.339999996
2015,6,Brasil,Inverno,37269714.830000006
2015,7,Brasil,Inverno,36819663.29
2015,8,Brasil,Inverno,37861860.11000001
2015,9,Brasil,Primavera,37844661.6
