Região,Ano,Mês,Energia
Brasil,2024,Janeiro,46835420.17100002
Norte,2024,Janeiro,3469530.5599999996
Nordeste,2024,Janeiro,8401502.120000001
Sudeste,2024,Janeiro,22368249.72
Sul,2024,Janeiro,8896396.660999998
Centro-Oeste,2024,Janeiro,3699741.11
Brasil,2023,Janeiro,42549223.7
Norte,2023,Janeiro,3179448.75
Nordeste,2023,Janeiro,7665183.47
Sudeste,2023,Janeiro,20159474.99
Sul,2023,Janeiro,8304697.21
Centro-Oeste,2023,Janeiro,3240419.28
Brasil,2022,Janeiro,42532862.36000001
Norte,2022,Janeiro,3033707.57
Nordeste,2022,Janeiro,7269935.419999999
Sudeste,2022,Janeiro,20474247.440000005
Sul,2022,Janeiro,8500828.26
Centro-Oeste,2022,Janeiro,3254143.6700000004
Brasil,2021,Janeiro,43093327.86000001
Norte,2021,Janeiro,2873240.7700000005
Nordeste,2021,Janeiro,7419802.7
Sudeste,2021,Janeiro,21497694.92
Sul,2021,Janeiro,8117258.05
Centro-Oeste,2021,Janeiro,3185331.42
Brasil,2020,Janeiro,41337389.0101
Norte,2020,Janeiro,2894525.5599999996
Nordeste,2020,Janeiro,7130559.42
Sudeste,2020,Janeiro,20157502.180000003
Sul,2020,Janeiro,7980474.770099999
Centro-Oeste,2020,Janeiro,3174327.08
Brasil,2019,Janeiro,41654959.989999995
Norte,2019,Janeiro,2563184.13
Nordeste,2019,Janeiro,6973292.250000001
Sudeste,2019,Janeiro,20965937.5
Sul,2019,Janeiro,8000635.0600000005
Centro-Oeste,2019,Janeiro,3151911.05
Brasil,2018,Janeiro,40058305.8
Norte,2018,Janeiro,2812897.8600000003
Nordeste,2018,Janeiro,6718801.139999999
Sudeste,2018,Janeiro,20078364.460000005
Sul,2018,Janeiro,7526624.319999999
Centro-Oeste,2018,Janeiro,2921618.02
Brasil,2017,Janeiro,39358019.58
Norte,2017,Janeiro,2766063
Nordeste,2017,Janeiro,6697103.29
Sudeste,2017,Janeiro,19686157.259999998
Sul,2017,Janeiro,7307446.3
Centro-Oeste,2017,Janeiro,2901249.73
Brasil,2016,Janeiro,38408542.10000001
Norte,2016,Janeiro,2734717
Nordeste,2016,Janeiro,6542214.100000001
Sudeste,2016,Janeiro,19314000.68
Sul,2016,Janeiro,6978391.33
Centro-Oeste,2016,Janeiro,2839218.99
Brasil,2015,Janeiro,40760683.53
Norte,2015,Janeiro,2720657.89
Nordeste,2015,Janeiro,6908173.279999999
Sudeste,2015,Janeiro,20943263.25
Sul,2015,Janeiro,7330738.32
Centro-Oeste,2015,Janeiro,2857850.79
Brasil,2014,Janeiro,40279759
Norte,2014,Janeiro,2600972
Nordeste,2014,Janeiro,6886428
Sudeste,2014,Janeiro,20704340
Sul,2014,Janeiro,7333087
Centro-Oeste,2014,Janeiro,2754932
Brasil,2013,Janeiro,38366809.739999995
Norte,2013,Janeiro,2392452.74
Nordeste,2013,Janeiro,6659728
Sudeste,2013,Janeiro,20089886
Sul,2013,Janeiro,6617103
Centro-Oeste,2013,Janeiro,2607640
Brasil,2012,Janeiro,36305167.29000001
Norte,2012,Janeiro,2368905.09
Nordeste,2012,Janeiro,6297828
Sudeste,2012,Janeiro,18915418
Sul,2012,Janeiro,6353277.2
Centro-Oeste,2012,Janeiro,2369739
Brasil,2011,Janeiro,35873744.260000005
Norte,2011,Janeiro,2215755.26
Nordeste,2011,Janeiro,5988600
Sudeste,2011,Janeiro,19247694
Sul,2011,Janeiro,6285133
Centro-Oeste,2011,Janeiro,2136562
Brasil,2010,Janeiro,33360460.71
Norte,2010,Janeiro,2065344.75
Nordeste,2010,Janeiro,5739946.35
Sudeste,2010,Janeiro,17684138.3
Sul,2010,Janeiro,5798706.31
Centro-Oeste,2010,Janeiro,2072325
Brasil,2009,Janeiro,30666661.8
Norte,2009,Janeiro,1981913
Nordeste,2009,Janeiro,5340331
Sudeste,2009,Janeiro,16124348
Sul,2009,Janeiro,5279472
Centro-Oeste,2009,Janeiro,1940597.8
Brasil,2008,Janeiro,31855946.27
Norte,2008,Janeiro,1890320
Nordeste,2008,Janeiro,5505389.27
Sudeste,2008,Janeiro,17157633
Sul,2008,Janeiro,5491078
Centro-Oeste,2008,Janeiro,1811526
Brasil,2007,Janeiro,30699704
Norte,2007,Janeiro,1833708
Nordeste,2007,Janeiro,5184828
Sudeste,2007,Janeiro,16699870
Sul,2007,Janeiro,5203429
Centro-Oeste,2007,Janeiro,1777869
Brasil,2006,Janeiro,28880910.62
Norte,2006,Janeiro,1727931.86
Nordeste,2006,Janeiro,4913181.87
Sudeste,2006,Janeiro,15695620.21
Sul,2006,Janeiro,4927599.7700000005
Centro-Oeste,2006,Janeiro,1616576.9100000001
Brasil,2005,Janeiro,28375437.441
Norte,2005,Janeiro,1687538.58
Nordeste,2005,Janeiro,4775175.930000001
Sudeste,2005,Janeiro,15518488.33
Sul,2005,Janeiro,4809416.19
