iter	RMSE
0	10891663
1	9898627.164
2	8998117.192
3	8253589.357
4	7529696.498
5	6843488.853
6	6217113.885
7	5648154.707
8	5150666.73
9	4698821.931
10	4267519.947
11	3906173.84
12	3569867.604
13	3269758.584
14	2996543.267
15	2743727.451
16	2525204.294
17	2314099.989
18	2122863.452
19	1951624.122
20	1798163.405
21	1660912.021
22	1531427.073
23	1420716.767
24	1318532.331
25	1226653.62
26	1142354.465
27	1068186.07
28	1007324.326
29	953363.5903
30	904176.5545
31	860093.6151
32	824483.9584
33	793627.2226
34	763063.6614
35	741846.4107
36	720794.5489
37	697259.935
38	679153.8488
39	667187.1106
40	652222.0365
41	639666.853
42	626986.4603
43	618088.6349
44	609541.6351
45	602529.82
46	592514.909
47	586214.8886
48	581851.6767
49	577156.5207
50	569931.9769
51	566030.5474
52	560446.1572
53	556408.3957
54	553249.6385
55	547785.8003
56	544958.3802
57	542678.9493
58	540978.733
59	538193.9551
60	537190.5263
61	534987.953
62	529620.9284
63	528208.5913
64	524606.8584
65	521755.8631
66	519450.7125
67	517484.8783
68	515001.0685
69	512708.5202
70	511197.9966
71	507717.0362
72	505004.443
73	501482.9582
74	498914.9323
75	496774.8836
76	490854.8328
77	489811.836
78	488632.5794
79	483073.68
80	478000.9996
81	475349.75
82	474195.3985
83	472781.1858
84	470774.8616
85	468766.0175
86	467165.5472
87	465727.7728
88	464419.4387
89	462998.928
90	461866.9533
91	461071.7126
92	458140.1116
93	457213.1917
94	454100.7335
95	453276.7296
96	452127.5547
97	451336.4878
98	449755.5208
99	445909.1791
100	444818.2339
101	441463.5025
102	440121.2319
103	437834.538
104	436498.2637
105	434948.7933
106	434333.9125
107	433676.0806
108	433117.4526
109	433109.1446
110	431578.1309
111	430054.6704
112	429558.2276
113	428860.1892
114	427801.8899
115	424287.6491
116	422405.6657
117	421175.3282
118	420717.0737
119	419605.4269
120	418968.7133
121	415842.5752
122	415252.576
123	414150.1165
124	411630.3773
125	410004.7566
126	409115.8121
127	408749.4941
128	407903.4522
129	406776.8067
130	405443.3173
131	405183.9552
132	404934.2233
133	402709.6434
134	402385.8795
135	400610.8496
136	398798.0857
137	397535.3922
138	394583.4851
139	394371.2192
140	392739.9243
141	392124.1027
142	391503.8684
143	390845.708
144	388960.5853
145	388761.4514
146	385774.1727
147	384930.3914
148	384191.4994
149	383926.7471
150	383651.0807
151	383647.5604
152	383471.5069
153	380505.0093
154	380283.0233
155	380069.2237
156	378748.6166
157	376268.4617
158	376061.1724
159	373339.9667
160	373159.6122
161	372493.903
162	372224.3984
163	370659.9972
164	370464.0904
165	369117.1768
166	367897.2101
167	366070.2257
168	365536.9447
169	364368.5867
170	364179.8447
171	363329.9112
172	362999.2205
173	362388.1639
174	360789.3127
175	360499.6825
176	359791.5403
177	357477.7274
178	356100.8001
179	354714.9339
180	354366.5368
181	353691.8939
182	352429.2973
183	352123.4757
184	351197.0868
185	350616.5928
186	350173.9742
187	349751.489
188	348155.6832
189	347358.7593
190	346484.1137
191	345392.2637
192	343987.5566
193	343525.4745
194	342860.2925
195	341193.5634
196	340799.8532
197	340425.5404
198	339164.58
199	338576.898
200	337898.0221
201	337545.1868
202	336352.8926
203	335636.5811
204	334488.8815
205	332713.0582
206	331705.9247
207	330771.654
208	329515.3466
209	328280.0269
