iter	Passed	Remaining
0	42	210965
1	44	110328
2	46	77212
3	48	60582
4	60	60697
5	62	51922
6	63	45493
7	65	40992
8	69	38272
9	75	37636
10	81	36934
11	84	35119
12	88	33819
13	90	32249
14	101	33774
15	105	32802
16	107	31494
17	110	30446
18	111	29293
19	113	28365
20	117	27806
21	126	28542
22	127	27696
23	130	27057
24	132	26301
25	134	25717
26	136	25076
27	137	24454
28	141	24235
29	143	23790
30	145	23254
31	146	22805
32	147	22210
33	152	22255
34	154	21941
35	159	21962
36	161	21630
37	163	21298
38	164	20949
39	165	20520
40	166	20184
41	168	19910
42	170	19656
43	175	19747
44	177	19510
45	179	19303
46	180	19048
47	182	18798
48	183	18558
49	186	18438
50	190	18470
51	192	18288
52	194	18181
53	197	18067
54	199	17908
55	203	17935
56	206	17917
57	208	17743
58	210	17610
59	211	17453
60	212	17229
61	214	17066
62	215	16915
63	217	16761
64	219	16629
65	222	16624
66	223	16491
67	225	16391
68	230	16472
69	232	16350
70	233	16218
71	241	16516
72	249	16841
73	255	16983
74	258	16958
75	260	16896
76	262	16801
77	264	16712
78	266	16599
79	270	16606
80	271	16513
81	273	16403
82	275	16321
83	277	16222
84	278	16131
85	280	16018
86	281	15913
87	287	16019
88	288	15924
89	290	15831
90	292	15754
91	293	15654
92	294	15548
93	296	15462
94	297	15374
95	300	15334
96	302	15309
97	304	15220
98	305	15148
99	307	15059
100	308	14974
101	310	14916
102	312	14854
103	313	14770
104	316	14734
105	317	14675
106	319	14592
107	320	14510
108	321	14430
109	322	14318
110	323	14236
111	324	14161
112	325	14080
113	326	14009
114	328	13933
115	330	13908
116	331	13853
117	333	13818
118	335	13755
119	336	13702
120	338	13638
121	339	13578
122	340	13514
123	342	13453
124	343	13393
125	344	13327
126	349	13400
127	350	13347
128	352	13313
129	354	13264
130	355	13218
131	357	13169
132	358	13110
133	359	13057
134	361	13009
135	362	12978
136	364	12932
137	365	12883
138	367	12841
139	368	12798
140	370	12753
141	371	12703
142	372	12650
143	373	12598
144	377	12646
145	379	12606
146	380	12565
147	381	12521
148	383	12476
149	384	12421
150	385	12371
151	385	12302
152	387	12269
153	388	12231
154	390	12191
155	394	12264
156	396	12227
